MWI,Malawi,tCO2e per capita,1.06
GUY,Guyana,tCO2e per capita,23.09
GEO,Georgia,tCO2e per capita,4.75
TJK,Tajikistan,tCO2e per capita,1.84
HRV,Croatia,tCO2e per capita,4.21
SVN,Slovenia,tCO2e per capita,7.44
LBR,Liberia,tCO2e per capita,3.09
EST,Estonia,tCO2e per capita,11.16
GHA,Ghana,tCO2e per capita,0.46
SUR,Suriname,tCO2e per capita,23.08
GNQ,Equatorial Guinea,tCO2e per capita,9.53
MDA,Moldova,tCO2e per capita,5.03
MRT,Mauritania,tCO2e per capita,2.79
KGZ,Kyrgyzstan,tCO2e per capita,1.95
BGR,Bulgaria,tCO2e per capita,1.82
BRN,Brunei,tCO2e per capita,27.96
SLV,El Salvador,tCO2e per capita,1.87
LVA,Latvia,tCO2e per capita,6.07
HTI,Haiti,tCO2e per capita,0.96
ARM,Armenia,tCO2e per capita,3.53
MKD,Macedonia,tCO2e per capita,4.71
SLE,Sierra Leone,tCO2e per capita,1.17
TGO,Togo,tCO2e per capita,1.12
LUX,Luxembourg,tCO2e per capita,13.54
ALB,Albania,tCO2e per capita,2.84
CYP,Cyprus,tCO2e per capita,6.51
RWA,Rwanda,tCO2e per capita,0.59
JAM,Jamaica,tCO2e per capita,2.56
BDI,Burundi,tCO2e per capita,0.6
CRI,Costa Rica,tCO2e per capita,1.39
BLZ,Belize,tCO2e per capita,17.5
ERI,Eritrea,tCO2e per capita,FALSE
MUS,Mauritius,tCO2e per capita,5.06
TLS,Timor-Leste,tCO2e per capita,4.56
GNB,Guinea-Bissau,tCO2e per capita,2.16
LSO,Lesotho,tCO2e per capita,1.87
MNE,Montenegro,tCO2e per capita,6.1
BRB,Barbados,tCO2e per capita,12.72
ISL,Iceland,tCO2e per capita,8.92
GMB,Gambia,tCO2e per capita,1.23
SWZ,Eswatini,tCO2e per capita,2.48
BHS,Bahamas,tCO2e per capita,7.19
GRD,Grenada,tCO2e per capita,21.31
MLT,Malta,tCO2e per capita,4.03
MDV,Maldives,tCO2e per capita,3.69
DJI,Djibouti,tCO2e per capita,1.41
ATG,Antigua and Barbuda,tCO2e per capita,12.29
SYC,Seychelles,tCO2e per capita,7.82
CPV,Cape Verde,tCO2e per capita,1.31
LCA,Saint Lucia,tCO2e per capita,3.84
COM,Comoros,tCO2e per capita,0.78
WSM,Samoa,tCO2e per capita,3.25
VUT,Vanuatu,tCO2e per capita,1.92
AND,Andorra,tCO2e per capita,7.48
STP,Sao Tome and Principe,tCO2e per capita,1.8
KNA,Saint Kitts and Nevis,tCO2e per capita,6.29
BTN,Bhutan,tCO2e per capita,0.41
VCT,Saint Vincent and the Grenadines,tCO2e per capita,2.73
TON,Tonga,tCO2e per capita,2.54
DMA,Dominica,tCO2e per capita,3.01
PLW,Palau,tCO2e per capita,10.82
MHL,Marshall Islands,tCO2e per capita,2.79
FSM,Micronesia,tCO2e per capita,1.38
LIE,Liechtenstein,tCO2e per capita,4.13
KIR,Kiribati,tCO2e per capita,0.74
NRU,Nauru,tCO2e per capita,4.37
TUV,Tuvalu,tCO2e per capita,1.83
FJI,Fiji,tCO2e per capita,-0.9
