AreaCode,Area,MonthsCode,Months,ElementCode,Element,Unit,1961,1962,1963,1964,1965,1966,1967
2,Afghanistan,7020,Meteorological year,7271,Temperature change,�C,-0.08,-0.12,0.882,-0.727,-0.2,0.176,-0.361
2,Afghanistan,7020,Meteorological year,6078,Standard Deviation,�C,0.548,0.548,0.548,0.548,0.548,0.548,0.548
