Sector,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Energy,MtCO2e,23283.88,23432.48,23315.17,23450.49,23551.65,24210.55,24730.57,25150.27,25315.23,25446.72,26269.19,26633.58,26952.26,28164.03,29458.4,30549.75,31471.52,32570.26,32817.34,32327.5,34255.39,35241.09,35641.95,36273.52,36383.4,36236.7,36239.01,36804.52,37707.06
Industrial Processes,MtCO2e,1002.76,1007.48,1022.92,1039.53,1147.93,1220.88,1272.44,1321.72,1325.97,1334.72,1393.64,1418.63,1471.02,1564.71,1645.95,1742.17,1873.86,2001.98,2045.87,2092.61,2228.91,2380.64,2463.49,2576.95,2699.79,2692.99,2789.84,2858.25,2967.21
Agriculture,MtCO2e,4978.93,4968.92,4948.4,4917.9,4960.66,5015.77,5042.65,4972.12,5027.44,5083.51,5078.73,5088.33,5147.52,5143.16,5253.46,5289.1,5349.68,5427.93,5434.78,5433.63,5493.46,5625.86,5648.32,5587.69,5638.52,5662.32,5698.38,5788.58,5788.68
Waste,MtCO2e,1364.4,1395.18,1418.28,1444.39,1470.96,1476.51,1478.31,1474.36,1466.28,1464.47,1466.76,1452.91,1447.97,1443.66,1431.88,1422.66,1433.85,1441.86,1446.93,1454.29,1465.13,1467.31,1476.63,1484.04,1514.26,1543.59,1560.85,1583.86,1606.86
Land-Use Change and Forestry,MtCO2e,2031.44,2031.44,2031.44,2031.88,2031.55,2037.15,1827.03,2796.53,2126.31,1935.22,1786.59,1473.37,1993.96,1693.69,2059.82,1780.73,2149.26,1619.34,1571.84,1962.11,1637.73,541.57,569.77,521.4,870.51,924.17,1403.75,1355.71,1516.09
